ID;Вода,г;белки,г;жиры,г;НЖК,г;ПНЖК,г;Холестерин,г;Моно-дисахариды,г;Крахмал,г;Углеводы,г;Пищ.волокна,г;Орг.кислоты,г;Зола,г;Na (натрий),мг;K (калий),мг;Ca (кальций),мг;Mg (магний),мг;P,мг;Fe (железо),мг;A,мкг;Бета-каротин,мкг;Ретиноловый эквивалент,мкг;Токоферолэквивалент,мкг;B1,мг;B2,мг;PP,мг;Ниациновый эквивалент,мкг;C,мкг;Алкоголь,%;ЭЦ,ккал
54-502-015-02;6952,245634;2026753,19;1255061,903;863677,6932;1090,240693;12052,28173;881733,8121;1554387,363;460350,5788;214183,4517;1364219,87;2371668,984;160916,075;16469,68498;49686,78188;68756,8594;54071,36635;781151,325;7492,696703;4475,025425;16195,42262;1229729,16;9138604,761;8969785,221;870015,6633;550032,5672;43883,35967;2233,333333;22128,87944
54-502-016-02;4762,665856;941339,6613;573106,4141;539125,8829;2833,907284;14838,50786;373437,4122;532306,5835;188140,9405;269978,8678;979947,9372;1167586,989;70678,80734;9476,780012;26943,33323;40565,63952;27061,40395;676028,4847;7952,116283;3565,656895;13874,48837;689888,9977;8021746,446;6906689,746;857665,0873;392506,4799;82144,68392;104961,6667;9919,84204
54-502-020-02;4761,506666;1127589,582;981601,2207;883696,0501;44,22680412;17690,90637;864967,3092;1347353,971;420309,9686;366407,8929;1125647,456;1509800,115;72113,20754;9428,959293;38374,23276;43147,20867;33754,0712;637334,1373;7698,728011;4275,388965;16589,78182;1211813,843;9126598,042;7764980,152;949849,0181;563674,1843;80397,8271;14300;17821,19978
54-502-021-01;8696,239924;1681875,681;825232,0885;607556,565;1325,048854;6930,77625;264232,8175;657206,8905;205966,5879;229854,9153;547472,1533;1997355,844;166068,0798;48046,28781;38644,00005;71544,43838;47932,22895;740943,627;3273,099925;4844,87433;21606,2935;850779,5089;8635923,625;6543680,982;606968,9612;391665,1359;45249,60956;6700;10339,74942
54-502-022-02;7794,23102;852840,8723;557418,5197;553224,0421;9863,447718;11589,95151;369188,95;397875,8832;193287,1356;245718,8279;1274938,269;1419819,334;77251,24697;65836,55805;28769,38534;47139,13703;24487,98049;795129,8803;6924,156666;5681,603239;13670,46273;801571,1808;8536832,251;6887364,582;925322,6925;382098,7021;87699,71866;3616,901276;8710,998128
54-504-007-01;3373,272892;686318,4766;151050,1275;169241,775;111,2614679;1363,333735;85075,84654;155608,4258;41510,59506;43151,55798;199527,1442;838885,7172;67620,13539;18343,41305;14668,14509;27234,20392;18386,35308;260764,716;860,1641126;987,755502;3542,779743;163893,9182;1967877,84;1707583,039;209699,3876;97975,42539;10846,67589;6700;3808,378854
54-702-023-01;7111,550447;550932,8178;798829,7781;551818,7872;6058,166873;3505,134609;300504,1847;778666,3845;147563,4691;197235,9177;936719,0266;885307,138;30796,79631;14969,44922;20379,84238;24718,72087;18576,46511;507612,9409;1958,397396;4658,707713;23465,44042;834163,1751;7783903,939;6048898,133;838952,3499;524046,4243;64932,27671;20575,32845;9064,982211
54-702-022-02;8924,02606;701673,3117;1736972,062;1077160,944;946,1666667;19340,96092;559311,9861;1666473,869;289655,3569;564189,6903;1817159,406;1061544,454;48773,94848;15807,04597;32672,28976;46375,74091;26895,51557;956806,4127;10148,34785;7603,301545;35103,84836;2062895,784;18056472,51;14939828,97;1637893,222;885243,5951;192354,7422;80833,33333;15002,24805
54-702-020-01;6166,045425;779478,7106;556081,2134;575214,5004;4678,87899;10366,03574;187094,5436;553646,0045;89940,35167;263808,1572;833194,6806;1072600,647;72706,68284;38726,86877;24361,91108;41143,00057;21626,62085;583630,9145;4988,425105;4784,507312;19091,22952;815897,4473;7547325,379;6093880,689;638805,301;371930,0925;48199,91094;0;6665,9564
54-002-056-01;10187,10872;586859,2676;758201,3038;886879,8919;1086,935764;11198,90303;388035,0108;620385,0199;192110,0286;213690,1021;1434873,429;1018365,504;39145,23212;37129,82732;22260,11879;31674,56625;16657,19751;685025,0988;5003,936812;7369,637975;29609,50861;792163,7795;10742840,52;7928652,828;936994,957;530510,5827;50724,24614;0;10246,09009
54-002-056-02;6910,908923;506012,7047;842843,8935;913592,7343;32,5;16677,40097;119922,4635;720684,1466;67091,56469;207912,9871;983283,3867;997202,0749;46555,34041;60388,78819;18217,84136;36762,5331;15882,80803;733175,8501;2376,668011;5774,685505;30886,49724;883516,5404;10164670,66;8523297,476;1000197,308;483558,7632;112933,5158;0;7695,447641
54-002-057-01;24373,04364;95449,79771;160306,7698;364705,2391;20,72164948;14003,93767;198235,6413;158728,9141;73045,49664;293920,3042;607882,3808;639373,3359;11157,65229;76833,69256;12557,19204;24285,00807;3405,731815;317511,4693;5652,027444;3822,973328;9106,301126;590365,1061;5842750,196;4179703,996;396268,0421;197756,6756;86687,11964;0;3061,164555
54-002-058-01;5948,594286;809951,3901;842974,6951;706457,7034;227,2727273;21347,55636;159093,1296;676131,0904;68485,82939;191694,7287;1348776,806;1431401,248;80750,41337;83846,59041;26011,52075;52482,31032;23490,26362;984515,6878;10724,8152;5623,404346;32861,75243;920034,0633;8667615,761;7307945,858;1183855,548;436523,4732;98109,49307;6720,12012;9283,008956
54-002-163-01;4992,695804;734241,7379;585511,1673;950920,6155;2033,947115;12221,63718;754217,9949;1011260,027;374106,6803;135214,978;1236141,86;1247722,367;33224,36903;17973,60887;25801,84233;26487,8902;22127,05721;792345,6538;6144,688089;7956,772243;16889,02155;599592,9656;6900169,449;5527124,431;1126563,932;464051,9431;76802,14011;6700;14331,98586
54-103-033-01;10515,05173;870928,212;916696,2556;662917,6454;3262;10408,50188;152014,9988;878719,0546;86579,27767;189581,7624;1249160,489;1114222,832;74344,08233;38412,44181;24141,77196;44282,51645;25660,88569;664022,1585;4172,15;4306,41387;22573,48298;1023786,125;9096419,705;7391263,312;886812,9029;454116,3777;61208,64178;0;10340,98578
54-102-241-01;5533,13292;914705,8754;727858,8103;532917,3849;1154,179594;8505,830431;367287,3718;686043,3114;173725,6694;201379,2193;1011415,298;1534055,328;76808,19376;63986,93685;27927,32039;43692,45057;28718,55892;638344,2826;4587,571101;3349,896058;14325,11128;743749,0311;6173800,148;6730692,164;765880,5519;374627,3637;62786,25933;42900;9922,762747
